                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  2.484,                 3.0128,                 2.4162,                0.38766,                 0.0625,                0.03698,                0.01425,                 2.7135,                 3.4487,                 2.5705,               0.001118,               0.001118,               0.001118
                     35,                 2.5109,                 2.9495,                 2.4396,                0.42038,                0.06944,                0.04063,                0.01564,                 2.6435,                   3.38,                 2.5387,              0.0011139,              0.0011139,              0.0011139
                     36,                 2.4545,                 2.9009,                 2.3599,                0.39667,                0.07592,                0.04782,                0.01735,                  2.583,                 3.1669,                 2.5083,              0.0011098,              0.0011098,              0.0011098
                     37,                 2.4901,                 2.9914,                 2.3986,                 0.3997,                0.07071,                0.03406,                0.00991,                 2.6928,                 3.3185,                  2.564,              0.0011056,              0.0011056,              0.0011056
                     38,                 2.5174,                 2.9277,                 2.3947,                0.39487,                 0.0614,                0.03764,                0.01077,                 2.7183,                  3.379,                 2.5741,              0.0011015,              0.0011015,              0.0011015
                     39,                 2.3818,                 2.8705,                 2.3746,                0.38195,                  0.073,                0.03275,                0.00841,                 2.6509,                 3.2739,                  2.562,              0.0010974,              0.0010974,              0.0010974
                     40,                 2.3946,                 2.8593,                 2.3724,                0.40708,                0.07647,                0.04652,                0.01446,                 2.5947,                 3.2165,                 2.5061,              0.0010933,              0.0010933,              0.0010933
                     41,                 2.4311,                 2.9045,                 2.3535,                0.42026,                0.09036,                0.05603,                0.02646,                 2.5831,                  3.144,                 2.5485,              0.0010891,              0.0010891,              0.0010891
                     42,                 2.3786,                 2.9395,                 2.3037,                0.43763,                0.05962,                0.05813,                0.01692,                 2.6847,                 3.1417,                 2.5944,               0.001085,               0.001085,               0.001085
                     43,                  2.359,                 2.8265,                  2.325,                0.52593,                0.07351,                0.06553,                0.02515,                 2.6346,                 3.1714,                 2.6002,              0.0010809,              0.0010809,              0.0010809
                     44,                 2.3658,                 2.7444,                 2.2918,                0.45016,                 0.0874,                0.05829,                0.02107,                 2.5569,                 3.0505,                 2.4254,              0.0010768,              0.0010768,              0.0010768
                     45,                 2.3537,                 2.7445,                 2.2836,                0.46622,                0.10654,                0.07936,                0.02942,                 2.5521,                 2.9922,                 2.4537,              0.0010726,              0.0010726,              0.0010726
                     46,                 2.3385,                 2.7986,                 2.2988,                0.46318,                 0.0874,                 0.0719,                0.02569,                 2.5116,                 3.1322,                 2.4797,              0.0010685,              0.0010685,              0.0010685
                     47,                 2.2945,                 2.6709,                 2.2581,                0.46453,                0.08045,                0.07588,                0.02904,                 2.5507,                 2.9628,                 2.4887,              0.0010644,              0.0010644,              0.0010644
                     48,                 2.3267,                 2.6804,                  2.247,                0.48831,                0.10772,                  0.086,                0.03432,                 2.5062,                 2.8872,                 2.4376,              0.0010603,              0.0010603,              0.0010603
                     49,                 2.3634,                 2.7029,                 2.2502,                0.38838,                0.07351,                0.04333,                0.01361,                 2.5202,                 3.0652,                 2.4366,              0.0010561,              0.0010561,              0.0010561
                     50,                 2.3125,                 2.7003,                 2.2517,                0.47012,                0.06597,                0.06958,                0.02868,                 2.5226,                 3.1003,                  2.373,               0.001052,               0.001052,               0.001052
                     51,                  2.304,                 2.6671,                 2.2618,                0.03284,                0.08105,                0.02953,                0.00966,                 2.6298,                 3.1611,                 2.4765,              0.0010479,              0.0010479,              0.0010479
                     52,                  2.289,                 2.6279,                 2.2487,                0.44751,                  0.073,                0.05994,                0.02116,                 2.5259,                 3.3368,                  2.417,              0.0010438,              0.0010438,              0.0010438
                     53,                 2.2762,                 2.5648,                 2.2144,                0.07473,                 0.0863,                0.04996,                0.02039,                 2.5892,                 3.2248,                 2.5296,              0.0010396,              0.0010396,              0.0010396
                     54,                 2.2521,                 2.6189,                 2.2059,                0.47938,                0.13034,                0.09146,                0.03576,                  2.407,                 2.9586,                 2.3146,              0.0010355,              0.0010355,              0.0010355
                     55,                 2.2531,                 2.6804,                 2.2104,                0.46521,                0.10137,                0.07548,                0.03347,                 2.4127,                 2.9867,                 2.3702,              0.0010314,              0.0010314,              0.0010314
                     56,                 2.1684,                 2.5443,                 2.1253,                0.44751,                0.10823,                0.07549,                0.02864,                 2.3312,                 2.7799,                 2.3003,              0.0010273,              0.0010273,              0.0010273
                     57,                 2.2214,                 2.6294,                 2.1822,                0.45511,                   0.11,                0.08699,                0.03889,                 2.3356,                 2.8124,                 2.3062,              0.0010231,              0.0010231,              0.0010231
                     58,                  2.206,                 2.6094,                  2.144,                0.44147,                0.11506,                0.07831,                0.03091,                 2.4346,                  2.996,                  2.326,               0.001019,               0.001019,               0.001019
                     59,                 2.2607,                 2.6512,                 2.1786,                0.09627,                0.19986,                0.09157,                0.03393,                 2.3026,                  3.123,                 2.2788,              0.0010149,              0.0010149,              0.0010149
                     60,                 2.2294,                 2.6122,                 2.1829,                0.41551,                0.11983,                0.05926,                0.02541,                  2.431,                 3.1155,                 2.3736,              0.0010107,              0.0010107,              0.0010107
                     61,                 2.2824,                 2.5897,                 2.1728,                0.41056,                0.10882,                 0.0671,                0.02867,                 2.3542,                 3.0976,                 2.3435,              0.0010066,              0.0010066,              0.0010066
                     62,                 2.1414,                  2.538,                  2.135,                0.48044,                0.14651,                0.10109,                0.03716,                 2.3934,                 2.7404,                 2.3547,              0.0010025,              0.0010025,              0.0010025
                     63,                 2.1857,                 2.4712,                 2.1227,                0.46581,                0.17725,                0.11056,                0.03966,                 2.3679,                  2.695,                 2.2391,             0.00099837,             0.00099837,             0.00099837
                     64,                  2.176,                 2.4795,                 2.0837,                0.09399,                0.15167,                0.09571,                0.03433,                 2.4244,                 2.6879,                 2.3224,             0.00099425,             0.00099425,             0.00099425
                     65,                 2.2011,                 2.4835,                 2.0974,                 0.1205,                0.08054,                0.06152,                0.02606,                  2.492,                  2.993,                 2.4128,             0.00099013,             0.00099013,             0.00099013
                     66,                 2.1715,                 2.4586,                 2.1088,                0.08409,                0.12271,                0.05815,                0.01764,                 2.5516,                 2.8704,                 2.3906,               0.000986,               0.000986,               0.000986
                     67,                 2.2261,                 2.5604,                 2.1065,                0.49723,                0.09553,                0.09681,                0.04244,                 2.3262,                 2.7991,                 2.2052,             0.00098187,             0.00098187,             0.00098187
                     68,                 2.1156,                 2.4444,                 2.0676,                0.50379,                0.10129,                0.10044,                0.04246,                 2.3608,                 2.8279,                 2.2905,             0.00097775,             0.00097775,             0.00097775
                     69,                 2.1344,                 2.4307,                 2.0759,                0.14196,                0.10713,                0.09233,                0.04001,                 2.3776,                  2.908,                 2.3243,             0.00097362,             0.00097362,             0.00097362
                     70,                 2.1197,                  2.449,                 2.0959,                0.11299,                0.16802,                0.07839,                0.03227,                  2.294,                 2.8974,                 2.2409,              0.0009695,              0.0009695,              0.0009695
